,Cell,assigned_cluster
0,human4_lib1.final_cell_0001,ductal
1,human4_lib1.final_cell_0002,delta
2,human4_lib1.final_cell_0003,delta
3,human4_lib1.final_cell_0004,ductal
4,human4_lib1.final_cell_0005,ductal
5,human4_lib1.final_cell_0006,ductal
6,human4_lib1.final_cell_0007,ductal
7,human4_lib1.final_cell_0008,alpha
8,human4_lib1.final_cell_0009,ductal
9,human4_lib1.final_cell_0010,ductal
10,human4_lib1.final_cell_0011,alpha
11,human4_lib1.final_cell_0012,ductal
12,human4_lib1.final_cell_0013,ductal
13,human4_lib1.final_cell_0014,ductal
14,human4_lib1.final_cell_0015,delta
15,human4_lib1.final_cell_0016,activated_stellate
16,human4_lib1.final_cell_0017,beta
17,human4_lib1.final_cell_0018,ductal
18,human4_lib1.final_cell_0019,ductal
19,human4_lib1.final_cell_0020,beta
20,human4_lib1.final_cell_0021,beta
21,human4_lib1.final_cell_0022,delta
22,human4_lib1.final_cell_0023,ductal
23,human4_lib1.final_cell_0024,delta
24,human4_lib1.final_cell_0025,alpha
25,human4_lib1.final_cell_0026,beta
26,human4_lib1.final_cell_0027,beta
27,human4_lib1.final_cell_0028,delta
28,human4_lib1.final_cell_0029,ductal
29,human4_lib1.final_cell_0030,activated_stellate
30,human4_lib1.final_cell_0031,ductal
31,human4_lib1.final_cell_0032,ductal
32,human4_lib1.final_cell_0033,ductal
33,human4_lib1.final_cell_0034,beta
34,human4_lib1.final_cell_0035,macrophage
35,human4_lib1.final_cell_0036,alpha
36,human4_lib1.final_cell_0037,beta
37,human4_lib1.final_cell_0038,beta
38,human4_lib1.final_cell_0039,alpha
39,human4_lib1.final_cell_0040,ductal
40,human4_lib1.final_cell_0041,beta
41,human4_lib1.final_cell_0042,beta
42,human4_lib1.final_cell_0043,alpha
43,human4_lib1.final_cell_0044,ductal
44,human4_lib1.final_cell_0045,ductal
45,human4_lib1.final_cell_0046,beta
46,human4_lib1.final_cell_0047,beta
47,human4_lib1.final_cell_0048,alpha
48,human4_lib1.final_cell_0049,beta
49,human4_lib1.final_cell_0050,alpha
50,human4_lib1.final_cell_0051,beta
51,human4_lib1.final_cell_0052,ductal
52,human4_lib1.final_cell_0053,beta
53,human4_lib1.final_cell_0054,ductal
54,human4_lib1.final_cell_0055,alpha
55,human4_lib1.final_cell_0056,beta
56,human4_lib1.final_cell_0057,delta
57,human4_lib1.final_cell_0058,beta
58,human4_lib1.final_cell_0059,beta
59,human4_lib1.final_cell_0060,ductal
60,human4_lib1.final_cell_0061,beta
61,human4_lib1.final_cell_0062,ductal
62,human4_lib1.final_cell_0063,beta
63,human4_lib1.final_cell_0064,ductal
64,human4_lib1.final_cell_0065,ductal
65,human4_lib1.final_cell_0066,activated_stellate
66,human4_lib1.final_cell_0067,alpha
67,human4_lib1.final_cell_0068,alpha
68,human4_lib1.final_cell_0069,delta
69,human4_lib1.final_cell_0070,activated_stellate
70,human4_lib1.final_cell_0071,activated_stellate
71,human4_lib1.final_cell_0072,beta
72,human4_lib1.final_cell_0073,activated_stellate
73,human4_lib1.final_cell_0074,alpha
74,human4_lib1.final_cell_0075,beta
75,human4_lib1.final_cell_0076,ductal
76,human4_lib1.final_cell_0077,quiescent_stellate
77,human4_lib1.final_cell_0078,beta
78,human4_lib1.final_cell_0079,ductal
79,human4_lib1.final_cell_0080,beta
80,human4_lib1.final_cell_0081,beta
81,human4_lib1.final_cell_0082,activated_stellate
82,human4_lib1.final_cell_0083,delta
83,human4_lib1.final_cell_0084,beta
84,human4_lib1.final_cell_0085,beta
85,human4_lib1.final_cell_0086,beta
86,human4_lib1.final_cell_0087,beta
87,human4_lib1.final_cell_0088,delta
88,human4_lib1.final_cell_0089,beta
89,human4_lib1.final_cell_0090,delta
90,human4_lib1.final_cell_0091,alpha
91,human4_lib1.final_cell_0092,ductal
92,human4_lib1.final_cell_0093,alpha
93,human4_lib1.final_cell_0094,alpha
94,human4_lib1.final_cell_0095,alpha
95,human4_lib1.final_cell_0096,macrophage
96,human4_lib1.final_cell_0097,delta
97,human4_lib1.final_cell_0098,ductal
98,human4_lib1.final_cell_0099,ductal
99,human4_lib1.final_cell_0100,beta
100,human4_lib1.final_cell_0101,ductal
101,human4_lib1.final_cell_0102,beta
102,human4_lib1.final_cell_0103,beta
103,human4_lib1.final_cell_0104,alpha
104,human4_lib1.final_cell_0105,beta
105,human4_lib1.final_cell_0106,delta
106,human4_lib1.final_cell_0107,alpha
107,human4_lib1.final_cell_0108,alpha
108,human4_lib1.final_cell_0109,delta
109,human4_lib1.final_cell_0110,beta
110,human4_lib1.final_cell_0111,ductal
111,human4_lib1.final_cell_0112,beta
112,human4_lib1.final_cell_0113,beta
113,human4_lib1.final_cell_0114,delta
114,human4_lib1.final_cell_0115,acinar
115,human4_lib1.final_cell_0116,ductal
116,human4_lib1.final_cell_0117,alpha
117,human4_lib1.final_cell_0118,ductal
118,human4_lib1.final_cell_0119,ductal
119,human4_lib1.final_cell_0120,beta
120,human4_lib1.final_cell_0121,beta
121,human4_lib1.final_cell_0122,gamma
122,human4_lib1.final_cell_0123,alpha
123,human4_lib1.final_cell_0124,beta
124,human4_lib1.final_cell_0125,beta
125,human4_lib1.final_cell_0126,beta
126,human4_lib1.final_cell_0127,ductal
127,human4_lib1.final_cell_0128,activated_stellate
128,human4_lib1.final_cell_0129,delta
129,human4_lib1.final_cell_0130,beta
130,human4_lib1.final_cell_0131,ductal
131,human4_lib1.final_cell_0132,beta
132,human4_lib1.final_cell_0133,ductal
133,human4_lib1.final_cell_0134,ductal
134,human4_lib1.final_cell_0135,beta
135,human4_lib1.final_cell_0136,alpha
136,human4_lib1.final_cell_0137,ductal
137,human4_lib1.final_cell_0138,delta
138,human4_lib1.final_cell_0139,beta
139,human4_lib1.final_cell_0140,delta
140,human4_lib1.final_cell_0141,delta
141,human4_lib1.final_cell_0142,alpha
142,human4_lib1.final_cell_0143,alpha
143,human4_lib1.final_cell_0144,ductal
144,human4_lib1.final_cell_0145,macrophage
145,human4_lib1.final_cell_0146,alpha
146,human4_lib1.final_cell_0147,ductal
147,human4_lib1.final_cell_0148,ductal
148,human4_lib1.final_cell_0149,ductal
149,human4_lib1.final_cell_0150,beta
150,human4_lib1.final_cell_0151,beta
151,human4_lib1.final_cell_0152,alpha
152,human4_lib1.final_cell_0153,beta
153,human4_lib1.final_cell_0154,alpha
154,human4_lib1.final_cell_0155,beta
155,human4_lib1.final_cell_0156,beta
156,human4_lib1.final_cell_0157,ductal
157,human4_lib1.final_cell_0158,ductal
158,human4_lib1.final_cell_0159,beta
159,human4_lib1.final_cell_0160,beta
160,human4_lib1.final_cell_0161,alpha
161,human4_lib1.final_cell_0162,alpha
162,human4_lib1.final_cell_0163,beta
163,human4_lib1.final_cell_0164,beta
164,human4_lib1.final_cell_0165,alpha
165,human4_lib1.final_cell_0166,beta
166,human4_lib1.final_cell_0167,beta
167,human4_lib1.final_cell_0168,alpha
168,human4_lib1.final_cell_0169,delta
