,clusters
4-46,0
4-38,0
4-66,0
4-27,0
4-49,0
4-37,0
4-41,0
4-54,0
4-29,0
4-32,0
4-68,0
4-33,0
4-64,0
4-58,0
4-57,0
4-36,0
4-53,0
4-69,0
4-42,0
4-39,0
4-44,0
4-31,0
4-28,0
4-52,0
4-30,0
4-56,0
4-45,0
4-60,0
4-65,0
4-34,0
4-63,0
4-67,0
4-71,0
4-47,0
4-51,0
4-26,0
4-72,0
4-61,0
4-59,0
4-50,0
4-48,0
4-43,0
4-35,0
4-40,0
5-53,0
5-86,0
5-82,0
5-70,0
5-58,0
5-52,0
5-85,0
5-77,0
5-56,0
5-93,0
5-73,0
5-91,0
5-88,0
5-80,0
5-96,0
5-66,0
5-78,0
5-60,0
5-87,0
5-69,0
5-65,0
5-51,0
5-64,0
5-79,1
5-63,0
5-68,0
5-75,0
5-83,0
5-76,0
5-92,0
5-81,0
5-55,0
5-61,0
5-67,0
5-71,0
5-94,0
5-49,0
5-90,0
5-95,0
5-50,0
5-48,0
5-72,0
5-62,0
5-59,0
5-84,0
5-54,0
5-57,0
6-2,0
6-8,0
6-13,0
6-9,1
6-7,0
6-3,0
6-14,0
6-6,0
6-4,0
6-11,0
6-5,0
6-10,0
6-1,0
6-12,0
7-46,0
7-69,0
7-45,0
7-77,0
7-75,0
7-66,1
7-59,0
7-70,0
7-62,0
7-40,0
7-48,1
7-78,0
7-52,0
7-82,0
7-49,0
7-79,1
7-61,0
7-81,1
7-76,0
7-47,1
7-50,0
7-64,1
7-63,0
7-43,0
7-84,0
7-58,0
7-53,0
7-65,0
7-80,1
7-71,0
7-72,0
7-51,0
7-39,0
7-73,1
7-44,1
7-60,1
7-67,0
7-57,0
7-68,0
7-83,1
7-56,0
7-42,0
7-55,0
7-54,0
8-93,1
8-90,0
8-83,0
8-89,0
8-80,0
8-84,0
8-86,1
8-94,0
8-96,0
8-81,0
8-95,0
8-82,0
8-92,0
8-88,0
8-87,0
8-91,0
8-85,0
9-14,0
9-9,0
9-17,0
9-16,0
9-18,1
9-8,0
9-19,1
9-13,0
9-6,0
9-11,0
9-15,0
9-2,0
9-20,0
9-12,1
9-10,0
9-7,0
9-1,0
9-3,0
9-4,1
9-5,1
3-94,1
3-75,0
3-74,1
3-67,1
3-71,1
3-88,1
3-80,0
3-84,1
3-83,1
3-91,1
3-92,1
3-95,1
3-89,1
3-72,1
3-86,1
3-70,1
3-81,1
3-79,1
3-69,0
3-87,1
3-82,1
3-77,1
3-76,1
3-96,1
3-85,1
3-68,1
3-90,1
3-93,1
3-78,1
3-73,1
4-20,1
4-4,1
4-13,0
4-10,1
4-1,1
4-7,1
4-16,1
4-25,1
4-6,1
4-12,1
4-9,1
4-2,1
4-24,0
4-8,1
4-11,1
4-19,0
4-23,1
4-14,0
4-15,1
4-5,1
4-18,1
4-3,0
4-17,1
4-22,1
4-21,1
6-91,1
6-84,1
6-86,1
6-95,1
6-93,1
6-96,1
6-83,1
6-81,1
6-90,1
6-89,1
6-92,1
6-94,1
6-88,1
6-87,1
6-85,1
6-82,1
7-16,1
7-95,1
7-15,1
7-88,1
7-89,1
7-36,1
7-31,1
7-91,1
7-8,1
7-2,1
7-21,1
7-90,1
7-37,1
7-6,1
7-96,1
7-86,1
7-38,1
7-18,1
7-32,1
7-4,1
7-35,1
7-5,1
7-27,1
7-12,1
7-33,1
7-3,1
7-93,1
7-94,1
7-7,1
7-22,1
7-30,1
7-26,1
7-87,1
7-24,1
7-19,1
7-9,1
7-20,1
7-92,1
7-25,1
7-17,1
7-34,1
7-1,1
7-14,1
7-23,1
7-11,1
7-10,1
7-28,1
8-9,1
8-15,1
8-30,1
8-26,1
8-8,1
8-29,1
8-11,1
8-24,1
8-16,1
8-7,1
8-6,1
8-21,1
8-20,1
8-19,1
8-1,1
8-18,1
8-23,1
8-5,1
8-2,1
8-27,1
8-12,1
8-17,1
8-3,1
8-28,1
8-14,1
8-25,1
8-10,1
1-34,1
1-54,1
1-26,1
1-49,1
1-44,1
1-64,1
1-45,1
1-89,1
1-14,1
1-50,1
1-42,1
1-52,1
1-78,0
1-71,1
1-6,1
1-27,1
1-86,1
1-55,1
1-17,1
1-68,1
1-7,1
1-43,1
1-88,1
1-40,1
1-61,1
1-20,1
1-1,1
1-48,1
1-23,1
1-92,1
1-90,1
1-30,1
1-32,1
1-21,1
1-2,1
1-85,1
1-46,1
1-24,1
1-81,1
1-94,1
1-51,1
1-66,1
1-8,1
1-39,1
1-73,1
1-83,1
1-93,1
1-67,1
1-84,1
1-13,1
1-18,1
1-59,1
1-58,1
1-80,0
1-62,1
1-19,1
1-37,1
1-38,1
1-96,1
1-70,1
1-5,1
1-11,1
1-87,1
1-82,1
1-57,1
1-91,1
1-79,1
1-3,0
1-10,1
1-4,0
1-95,1
1-69,1
1-12,1
1-75,1
1-72,1
1-74,1
1-16,0
1-22,1
1-56,1
1-60,1
1-76,1
1-47,1
1-53,1
1-15,1
1-33,1
1-35,1
1-63,1
1-36,1
1-77,1
1-65,1
1-28,1
1-29,1
2-27,1
2-37,1
2-29,1
2-22,1
2-12,1
2-2,1
2-10,1
2-14,0
2-38,1
2-32,1
2-19,1
2-17,1
2-26,1
2-35,1
2-36,1
2-28,1
2-33,1
2-3,1
2-23,1
2-24,1
2-4,1
2-15,1
2-1,1
2-7,1
2-34,0
2-16,1
2-21,1
2-20,1
2-18,1
2-39,1
2-8,1
2-31,1
2-5,1
2-11,1
2-30,1
2-6,1
2-25,1
3-24,1
3-1,1
3-6,1
3-43,1
3-50,1
3-37,1
3-45,1
3-7,1
3-42,1
3-44,1
3-12,1
3-22,1
3-33,1
3-65,1
3-11,1
3-59,1
3-10,1
3-35,1
3-40,1
3-38,1
3-39,1
3-49,1
3-53,1
3-34,1
3-29,1
3-47,1
3-41,1
3-19,1
3-15,1
3-4,1
3-61,1
3-9,1
3-54,1
3-51,1
3-5,1
3-52,1
3-27,1
3-62,1
3-36,1
3-3,1
3-17,1
3-2,1
3-14,1
3-13,1
3-16,1
4-84,1
4-88,1
4-73,1
4-79,1
4-80,1
4-76,1
4-75,1
4-92,1
4-81,1
4-95,1
4-86,1
4-91,1
4-77,1
4-89,1
4-90,1
4-82,1
4-83,0
4-93,1
4-74,1
4-85,1
4-94,1
4-96,1
4-87,1
5-27,1
5-1,1
5-19,1
5-35,1
