"","UMAP_1","UMAP_2"
"N402Barcode_706.511",-3.01375243622126,-2.25661844367812
"N402Barcode_705.507",0.713796878277638,-3.10867369527648
"N402Barcode_718.520",0.932853007733204,0.5030100906389
"N402Barcode_722.516",-2.23317668396296,-0.594225588987565
"N402Barcode_721.516",-1.16602418381037,0.159762200166488
"N402Barcode_715.515",-0.739869093478343,-0.627083245466447
"N402Barcode_718.513",1.08038737815557,0.353947457124495
"N402Barcode_704.506",-0.582267736971996,-2.7107692396147
"N402Barcode_702.505",-0.663609003604076,-3.01461583728621
"N402Barcode_706.503",3.05924811404882,0.409897621919417
"N402Barcode_701.511",-2.99238583999934,-2.37088877315352
"N402Barcode_727.507",0.24850680869756,-2.50102728957961
"N402Barcode_729.502",-1.18369624573054,1.89995413665941
"N402Barcode_705.521",2.24365510982213,0.918812569429183
"N402Barcode_719.503",3.97569956821141,-0.79925722236464
"N402Barcode_707.521",-3.11778686004939,0.923261936952376
"N402Barcode_728.521",1.11383845847783,1.694645699312
"N402Barcode_702.508",1.72525396388707,1.79118901138475
"N402Barcode_703.520",-2.34191224533381,0.3354657257097
"N402Barcode_707.506",-2.00447175461116,3.17430716400316
"N402Barcode_701.505",0.764472032009938,0.368953522493148
"N402Barcode_724.505",-0.288365578234813,2.47833853607347
"N402Barcode_728.510",2.88437386792836,0.60868054275682
"N402Barcode_703.503",-3.05051944214167,1.66805392151048
"N402Barcode_726.511",-1.49199006515803,-0.645630541990495
"N402Barcode_702.510",1.50912883323369,0.983038719941878
"N402Barcode_712.513",-2.65571401077571,0.171691235353255
"N402Barcode_714.516",-0.269788717806957,-2.37869757766554
"N402Barcode_715.503",3.38083795648752,1.24116068725755
"N402Barcode_726.521",-2.64817616897883,2.14596205597093
"N402Barcode_721.503",-2.55675647217097,1.17002755050828
"N402Barcode_704.515",-1.40832707840266,-0.632495824049211
"N402Barcode_719.517",-2.92605636078181,-1.94672841186354
"N402Barcode_705.522",-2.30404422241511,2.60180502777269
"N402Barcode_705.508",-0.403408741534374,-3.25120509023497
"N402Barcode_705.510",-2.99904677826228,1.32850104217699
"N402Barcode_722.513",-0.562237715304515,-2.84351975078413
"N402Barcode_720.503",-1.89879128891291,-0.908506575773454
"N402Barcode_720.517",-1.01324126678767,0.0716789329545735
"N402Barcode_716.510",3.39818225246606,-0.135123435209489
"N402Barcode_702.511",0.665057683407643,-1.17559761161635
"N402Barcode_723.502",-3.28668878036799,-2.20402270908186
"N402Barcode_727.522",2.54545178455053,-0.298298064420915
"N402Barcode_715.518",0.879942202984669,-2.37214035148451
"N402Barcode_703.507",2.85209896606145,-1.22269815559218
"N402Barcode_707.515",-1.64317033249202,2.48866349106004
"N402Barcode_702.520",2.47616305392919,-0.981144372175431
"N402Barcode_704.510",-0.626401876986644,-1.55878299827406
"N402Barcode_712.521",-1.49714562851252,2.28450518493822
"N402Barcode_706.522",-1.03826568085017,2.78354340439012
"N402Barcode_714.510",-2.13040206390681,2.90390711670091
"N402Barcode_702.515",-2.42131326156916,1.97894078140428
"N402Barcode_701.515",-1.39514634567561,0.492470082093978
"N402Barcode_711.502",0.439809346615651,2.27558594589403
"N402Barcode_701.517",3.65477947336374,-1.31583446616957
"N402Barcode_720.507",-1.27811763244929,3.19718533401659
"N402Barcode_728.508",2.21389272254644,1.34030037765672
"N402Barcode_728.520",2.49839975875554,-0.322871152113176
"N402Barcode_726.522",3.18478318494497,-0.727165881345964
"N402Barcode_707.503",0.906939769207814,-0.208350363920426
"N402Barcode_724.510",3.31673947912393,0.214117821504378
"N402Barcode_705.505",0.0240731481903578,-1.06532448882887
"N402Barcode_701.503",-2.77137801605525,1.58999520187547
"N402Barcode_703.516",0.386286759793141,-1.47253388519118
"N402Barcode_728.503",-2.72906968551936,3.01192217712572
"N402Barcode_703.510",3.73186024469075,1.16868382339647
"N402Barcode_721.508",-1.37642953354182,-0.312617484281755
"N402Barcode_707.505",2.43171241325078,-0.518520775984025
"N402Barcode_716.506",-1.37589833694758,2.84112053756883
"N402Barcode_714.518",0.588800216137745,0.198777016450667
"N402Barcode_720.516",-0.257996773303172,-1.07762760276625
"N402Barcode_724.507",-0.251975035250804,0.941549595643782
"N402Barcode_720.506",-1.70493504959407,-0.243326846311784
"N402Barcode_720.520",1.68175759357152,-0.181324664304948
"N402Barcode_701.518",-2.66666314560237,3.13423663025072
"N402Barcode_722.520",1.85211863559423,0.680392082978988
"N402Barcode_723.508",-1.34373710113826,-1.66312021369765
"N402Barcode_721.521",-1.63884017425837,3.19623738174608
"N402Barcode_715.511",-2.80081365066828,-1.77138513679335
"N402Barcode_704.516",-2.87263057190242,0.0392201507585286
"N402Barcode_724.520",0.835259938656666,0.753172215272689
