,Cell,assigned_cluster
0,human2_lib1.final_cell_0001,delta
1,human2_lib1.final_cell_0002,delta
2,human2_lib1.final_cell_0003,alpha
3,human2_lib1.final_cell_0004,delta
4,human2_lib1.final_cell_0005,delta
5,human2_lib1.final_cell_0006,delta
6,human2_lib1.final_cell_0007,delta
7,human2_lib1.final_cell_0008,delta
8,human2_lib1.final_cell_0009,activated_stellate
9,human2_lib1.final_cell_0010,ductal
10,human2_lib1.final_cell_0011,delta
11,human2_lib1.final_cell_0012,delta
12,human2_lib1.final_cell_0013,alpha
13,human2_lib1.final_cell_0014,delta
14,human2_lib1.final_cell_0015,alpha
15,human2_lib1.final_cell_0016,alpha
16,human2_lib1.final_cell_0017,beta
17,human2_lib1.final_cell_0018,ductal
18,human2_lib1.final_cell_0019,alpha
19,human2_lib1.final_cell_0020,alpha
20,human2_lib1.final_cell_0021,ductal
21,human2_lib1.final_cell_0022,alpha
22,human2_lib1.final_cell_0023,alpha
23,human2_lib1.final_cell_0024,delta
24,human2_lib1.final_cell_0025,ductal
25,human2_lib1.final_cell_0026,alpha
26,human2_lib1.final_cell_0027,delta
27,human2_lib1.final_cell_0028,ductal
28,human2_lib1.final_cell_0029,ductal
29,human2_lib1.final_cell_0030,ductal
30,human2_lib1.final_cell_0031,activated_stellate
31,human2_lib1.final_cell_0032,ductal
32,human2_lib1.final_cell_0033,alpha
33,human2_lib1.final_cell_0034,delta
34,human2_lib1.final_cell_0035,delta
35,human2_lib1.final_cell_0036,delta
36,human2_lib1.final_cell_0037,alpha
37,human2_lib1.final_cell_0038,ductal
38,human2_lib1.final_cell_0039,alpha
39,human2_lib1.final_cell_0040,macrophage
40,human2_lib1.final_cell_0041,alpha
41,human2_lib1.final_cell_0042,delta
42,human2_lib1.final_cell_0043,ductal
43,human2_lib1.final_cell_0044,delta
44,human2_lib1.final_cell_0045,alpha
45,human2_lib1.final_cell_0046,alpha
46,human2_lib1.final_cell_0047,alpha
47,human2_lib1.final_cell_0048,alpha
48,human2_lib1.final_cell_0049,ductal
49,human2_lib1.final_cell_0050,activated_stellate
50,human2_lib1.final_cell_0051,ductal
51,human2_lib1.final_cell_0052,alpha
52,human2_lib1.final_cell_0053,quiescent_stellate
53,human2_lib1.final_cell_0054,beta
54,human2_lib1.final_cell_0055,alpha
55,human2_lib1.final_cell_0056,beta
56,human2_lib1.final_cell_0057,beta
57,human2_lib1.final_cell_0058,beta
58,human2_lib1.final_cell_0059,alpha
59,human2_lib1.final_cell_0060,delta
60,human2_lib1.final_cell_0061,delta
61,human2_lib1.final_cell_0062,alpha
62,human2_lib1.final_cell_0063,beta
63,human2_lib1.final_cell_0064,alpha
64,human2_lib1.final_cell_0065,alpha
65,human2_lib1.final_cell_0066,alpha
66,human2_lib1.final_cell_0067,ductal
67,human2_lib1.final_cell_0068,beta
68,human2_lib1.final_cell_0069,ductal
69,human2_lib1.final_cell_0070,activated_stellate
70,human2_lib1.final_cell_0071,ductal
71,human2_lib1.final_cell_0072,alpha
72,human2_lib1.final_cell_0073,beta
73,human2_lib1.final_cell_0074,ductal
74,human2_lib1.final_cell_0075,alpha
75,human2_lib1.final_cell_0076,beta
76,human2_lib1.final_cell_0077,alpha
77,human2_lib1.final_cell_0078,ductal
78,human2_lib1.final_cell_0079,alpha
79,human2_lib1.final_cell_0080,beta
80,human2_lib1.final_cell_0081,alpha
81,human2_lib1.final_cell_0082,ductal
82,human2_lib1.final_cell_0083,ductal
83,human2_lib1.final_cell_0084,alpha
84,human2_lib1.final_cell_0085,alpha
85,human2_lib1.final_cell_0086,ductal
86,human2_lib1.final_cell_0087,alpha
87,human2_lib1.final_cell_0088,alpha
88,human2_lib1.final_cell_0089,alpha
89,human2_lib1.final_cell_0090,beta
90,human2_lib1.final_cell_0091,alpha
91,human2_lib1.final_cell_0092,beta
92,human2_lib1.final_cell_0093,alpha
93,human2_lib1.final_cell_0094,ductal
94,human2_lib1.final_cell_0095,delta
95,human2_lib1.final_cell_0096,gamma
96,human2_lib1.final_cell_0097,alpha
97,human2_lib1.final_cell_0098,ductal
98,human2_lib1.final_cell_0099,alpha
99,human2_lib1.final_cell_0100,beta
100,human2_lib1.final_cell_0101,beta
101,human2_lib1.final_cell_0102,gamma
102,human2_lib1.final_cell_0103,alpha
103,human2_lib1.final_cell_0104,delta
104,human2_lib1.final_cell_0105,beta
105,human2_lib1.final_cell_0106,alpha
106,human2_lib1.final_cell_0107,beta
107,human2_lib1.final_cell_0108,alpha
108,human2_lib1.final_cell_0109,alpha
109,human2_lib1.final_cell_0110,alpha
110,human2_lib1.final_cell_0111,beta
111,human2_lib1.final_cell_0112,ductal
112,human2_lib1.final_cell_0113,ductal
113,human2_lib1.final_cell_0114,alpha
114,human2_lib1.final_cell_0115,beta
115,human2_lib1.final_cell_0116,alpha
116,human2_lib1.final_cell_0117,ductal
117,human2_lib1.final_cell_0118,alpha
118,human2_lib1.final_cell_0119,beta
119,human2_lib1.final_cell_0120,alpha
120,human2_lib1.final_cell_0121,ductal
121,human2_lib1.final_cell_0122,alpha
122,human2_lib1.final_cell_0123,delta
123,human2_lib1.final_cell_0124,beta
124,human2_lib1.final_cell_0125,ductal
125,human2_lib1.final_cell_0126,beta
126,human2_lib1.final_cell_0127,alpha
127,human2_lib1.final_cell_0128,beta
128,human2_lib1.final_cell_0129,ductal
129,human2_lib1.final_cell_0130,alpha
130,human2_lib1.final_cell_0131,alpha
131,human2_lib1.final_cell_0132,alpha
132,human2_lib1.final_cell_0133,alpha
133,human2_lib1.final_cell_0134,ductal
134,human2_lib1.final_cell_0135,alpha
135,human2_lib1.final_cell_0136,ductal
136,human2_lib1.final_cell_0137,beta
137,human2_lib1.final_cell_0138,ductal
138,human2_lib1.final_cell_0139,beta
139,human2_lib1.final_cell_0140,alpha
140,human2_lib1.final_cell_0141,beta
141,human2_lib1.final_cell_0142,alpha
142,human2_lib1.final_cell_0143,activated_stellate
143,human2_lib1.final_cell_0144,alpha
144,human2_lib1.final_cell_0145,beta
145,human2_lib1.final_cell_0146,alpha
146,human2_lib1.final_cell_0147,alpha
147,human2_lib1.final_cell_0148,alpha
148,human2_lib1.final_cell_0149,alpha
149,human2_lib1.final_cell_0150,beta
150,human2_lib1.final_cell_0151,ductal
151,human2_lib1.final_cell_0152,activated_stellate
152,human2_lib1.final_cell_0153,alpha
153,human2_lib1.final_cell_0154,alpha
154,human2_lib1.final_cell_0155,ductal
155,human2_lib1.final_cell_0156,delta
156,human2_lib1.final_cell_0157,alpha
157,human2_lib1.final_cell_0158,alpha
158,human2_lib1.final_cell_0159,ductal
159,human2_lib1.final_cell_0160,ductal
160,human2_lib1.final_cell_0161,alpha
161,human2_lib1.final_cell_0162,alpha
162,human2_lib1.final_cell_0163,alpha
163,human2_lib1.final_cell_0164,alpha
164,human2_lib1.final_cell_0165,activated_stellate
165,human2_lib1.final_cell_0166,alpha
166,human2_lib1.final_cell_0167,macrophage
167,human2_lib1.final_cell_0168,alpha
168,human2_lib1.final_cell_0169,delta
169,human2_lib1.final_cell_0170,alpha
170,human2_lib1.final_cell_0171,activated_stellate
171,human2_lib1.final_cell_0172,alpha
172,human2_lib1.final_cell_0173,delta
173,human2_lib1.final_cell_0174,alpha
174,human2_lib1.final_cell_0175,alpha
175,human2_lib1.final_cell_0176,alpha
176,human2_lib1.final_cell_0177,ductal
177,human2_lib1.final_cell_0178,alpha
178,human2_lib1.final_cell_0179,alpha
179,human2_lib1.final_cell_0180,alpha
180,human2_lib1.final_cell_0181,ductal
181,human2_lib1.final_cell_0182,beta
182,human2_lib1.final_cell_0183,beta
183,human2_lib1.final_cell_0184,alpha
184,human2_lib1.final_cell_0185,gamma
185,human2_lib1.final_cell_0186,ductal
186,human2_lib1.final_cell_0187,beta
187,human2_lib1.final_cell_0188,endothelial
188,human2_lib1.final_cell_0189,gamma
189,human2_lib1.final_cell_0190,ductal
190,human2_lib1.final_cell_0191,alpha
191,human2_lib1.final_cell_0192,ductal
192,human2_lib1.final_cell_0193,delta
193,human2_lib1.final_cell_0194,ductal
194,human2_lib1.final_cell_0195,beta
