,Found,Truth
GSM1657903,0,OPC
GSM1657909,0,OPC
GSM1657920,0,OPC
GSM1657924,0,OPC
GSM1658188,0,microglia
GSM1658189,0,microglia
GSM1658196,0,microglia
GSM1657994,0,microglia
GSM1657996,0,microglia
GSM1657997,0,microglia
GSM1657999,0,microglia
GSM1658116,0,microglia
GSM1657910,0,microglia
GSM1657919,0,microglia
GSM1657925,0,microglia
GSM1657926,0,microglia
GSM1657927,0,microglia
GSM1657934,0,microglia
GSM1658078,1,astrocytes
GSM1658079,1,astrocytes
GSM1658081,1,astrocytes
GSM1658082,1,astrocytes
GSM1658168,1,astrocytes
GSM1658174,1,astrocytes
GSM1658184,1,astrocytes
GSM1658185,1,astrocytes
GSM1658186,1,astrocytes
GSM1658187,1,astrocytes
GSM1658190,1,astrocytes
GSM1658191,1,astrocytes
GSM1658193,1,astrocytes
GSM1658199,1,astrocytes
GSM1658201,1,astrocytes
GSM1658202,1,astrocytes
GSM1657992,1,astrocytes
GSM1657998,1,astrocytes
GSM1658000,1,astrocytes
GSM1658006,1,astrocytes
GSM1658007,1,astrocytes
GSM1658010,1,astrocytes
GSM1658016,1,astrocytes
GSM1658017,1,astrocytes
GSM1658020,1,astrocytes
GSM1658021,1,astrocytes
GSM1658026,1,astrocytes
GSM1658027,1,astrocytes
GSM1658029,1,astrocytes
GSM1658031,1,astrocytes
GSM1658043,1,astrocytes
GSM1658045,1,astrocytes
GSM1658048,1,astrocytes
GSM1658049,1,astrocytes
GSM1658050,1,astrocytes
GSM1658051,1,astrocytes
GSM1658053,1,astrocytes
GSM1658054,1,astrocytes
GSM1658056,1,astrocytes
GSM1658059,1,astrocytes
GSM1658060,1,astrocytes
GSM1658061,1,astrocytes
GSM1658062,1,astrocytes
GSM1658064,1,astrocytes
GSM1658065,1,astrocytes
GSM1658066,1,astrocytes
GSM1658067,1,astrocytes
GSM1658068,1,astrocytes
GSM1658069,1,astrocytes
GSM1658071,1,astrocytes
GSM1658072,1,astrocytes
GSM1658073,1,astrocytes
GSM1658142,1,astrocytes
GSM1657885,1,astrocytes
GSM1657932,1,astrocytes
GSM1657938,1,astrocytes
GSM1657965,1,astrocytes
GSM1657969,1,astrocytes
GSM1657975,1,astrocytes
GSM1657979,1,astrocytes
GSM1657981,1,astrocytes
GSM1658083,2,endothelial
GSM1658086,2,endothelial
GSM1657993,2,endothelial
GSM1657995,2,endothelial
GSM1658004,2,endothelial
GSM1658089,2,endothelial
GSM1658092,2,endothelial
GSM1658094,2,endothelial
GSM1658096,2,endothelial
GSM1658098,2,endothelial
GSM1658099,2,endothelial
GSM1658100,2,endothelial
GSM1658102,2,endothelial
GSM1658112,2,endothelial
GSM1658117,2,endothelial
GSM1658122,2,endothelial
GSM1658126,2,endothelial
GSM1657972,2,endothelial
GSM1658055,3,astrocytes
GSM1658080,3,neurons
GSM1658084,3,neurons
GSM1658087,3,neurons
GSM1658163,3,neurons
GSM1658166,3,neurons
GSM1658169,3,neurons
GSM1658170,3,neurons
GSM1658171,3,neurons
GSM1658172,3,neurons
GSM1658175,3,neurons
GSM1658176,3,neurons
GSM1658177,3,neurons
GSM1658181,3,neurons
GSM1658182,3,neurons
GSM1658192,3,neurons
GSM1658194,3,neurons
GSM1658195,3,neurons
GSM1658197,3,neurons
GSM1658198,3,neurons
GSM1658200,3,neurons
GSM1657988,3,neurons
GSM1657989,3,neurons
GSM1657990,3,neurons
GSM1657991,3,neurons
GSM1658001,3,neurons
GSM1658002,3,neurons
GSM1658005,3,neurons
GSM1658009,3,neurons
GSM1658012,3,neurons
GSM1658014,3,neurons
GSM1658025,3,neurons
GSM1658032,3,neurons
GSM1658033,3,neurons
GSM1658034,3,neurons
GSM1658035,3,neurons
GSM1658037,3,neurons
GSM1658038,3,neurons
GSM1658039,3,neurons
GSM1658040,3,neurons
GSM1658041,3,neurons
GSM1658042,3,neurons
GSM1658046,3,neurons
GSM1658052,3,neurons
GSM1658058,3,neurons
GSM1658063,3,neurons
GSM1658090,3,neurons
GSM1658091,3,neurons
GSM1658095,3,neurons
GSM1658101,3,neurons
GSM1658103,3,neurons
GSM1658104,3,neurons
GSM1658105,3,neurons
GSM1658106,3,neurons
GSM1658107,3,neurons
GSM1658108,3,neurons
GSM1658110,3,neurons
GSM1658111,3,neurons
GSM1658113,3,neurons
GSM1658114,3,neurons
GSM1658115,3,neurons
GSM1658121,3,neurons
GSM1658127,3,neurons
