,0,1
D28.1_1,0,alpha
D28.1_15,0,alpha
D28.1_17,0,alpha
D28.1_29,0,alpha
D28.1_30,0,alpha
D28.1_39,0,alpha
D28.1_40,0,alpha
D28.1_41,0,alpha
D28.1_51,0,alpha
D28.1_63,0,alpha
D28.1_74,0,alpha
D28.1_75,0,alpha
D28.1_88,0,alpha
D28.2_2,0,alpha
D28.2_28,0,alpha
D28.2_37,0,alpha
D28.2_43,0,alpha
D28.2_5,0,alpha
D28.2_51,0,alpha
D28.2_52,0,alpha
D28.2_65,0,alpha
D28.2_68,0,alpha
D28.2_85,0,alpha
D28.2_90,0,alpha
D28.3_13,0,alpha
D28.3_15,0,alpha
D28.3_3,0,alpha
D28.3_38,0,alpha
D28.3_42,0,alpha
D28.3_5,0,alpha
D28.3_55,0,alpha
D28.3_64,0,alpha
D28.3_68,0,alpha
D28.3_69,0,alpha
D28.3_7,0,alpha
D28.3_76,0,alpha
D28.3_79,0,alpha
D28.3_8,0,alpha
D28.3_92,0,alpha
D28.4_13,0,alpha
D28.4_15,0,alpha
D28.4_27,0,alpha
D28.4_29,0,alpha
D28.4_30,0,alpha
D28.4_37,0,alpha
D28.4_39,0,alpha
D28.4_41,0,alpha
D28.4_56,0,alpha
D28.4_62,0,alpha
D28.4_65,0,alpha
D28.4_76,0,alpha
D28.4_87,0,alpha
D29.1_1,0,alpha
D29.1_11,0,alpha
D29.1_13,0,alpha
D29.1_17,0,alpha
D29.1_18,0,alpha
D29.1_19,0,alpha
D29.1_20,0,alpha
D29.1_26,0,alpha
D29.1_27,0,alpha
D29.1_29,0,alpha
D29.1_32,0,alpha
D29.1_34,0,alpha
D29.1_37,0,alpha
D29.1_38,0,alpha
D29.1_4,0,alpha
D29.1_41,0,alpha
D29.1_44,0,alpha
D29.1_46,0,alpha
D29.1_47,0,alpha
D29.1_50,0,alpha
D29.1_51,0,alpha
D29.1_55,0,alpha
D29.1_59,0,alpha
D29.1_6,0,alpha
D29.1_60,0,alpha
D29.1_62,0,alpha
D29.1_69,0,alpha
D29.1_7,0,alpha
D29.1_76,0,alpha
D29.1_80,0,alpha
D29.1_87,0,alpha
D29.1_89,0,alpha
D29.2_13,0,alpha
D29.2_15,0,alpha
D29.2_22,0,alpha
D29.2_25,0,alpha
D29.2_28,0,alpha
D29.2_3,0,alpha
D29.2_31,0,alpha
D29.2_33,0,alpha
D29.2_35,0,alpha
D29.2_37,0,alpha
D29.2_38,0,alpha
D29.2_39,0,alpha
D29.2_41,0,alpha
D29.2_45,0,alpha
D29.2_48,0,alpha
D29.2_51,0,alpha
D29.2_52,0,alpha
D29.2_6,0,alpha
D29.2_67,0,alpha
D29.2_69,0,alpha
D29.2_71,0,alpha
D29.2_74,0,alpha
D29.2_75,0,alpha
D29.2_76,0,alpha
D29.2_8,0,alpha
D29.2_84,0,alpha
D29.2_90,0,alpha
D29.2_91,0,alpha
D29.2_93,0,alpha
D29.2_94,0,alpha
D29.3_18,0,alpha
D29.3_22,0,alpha
D29.3_25,0,alpha
D29.3_29,0,alpha
D29.3_3,0,alpha
D29.3_30,0,alpha
D29.3_31,0,alpha
D29.3_33,0,alpha
D29.3_34,0,alpha
D29.3_38,0,alpha
D29.3_40,0,alpha
D29.3_42,0,alpha
D29.3_47,0,alpha
D29.3_49,0,alpha
D29.3_53,0,alpha
D29.3_54,0,alpha
D29.3_56,0,alpha
D29.3_60,0,alpha
D29.3_66,0,alpha
D29.3_72,0,alpha
D29.3_74,0,alpha
D29.3_76,0,alpha
D29.3_77,0,alpha
D29.3_79,0,alpha
D29.3_81,0,alpha
D29.3_84,0,alpha
D29.3_92,0,alpha
D29.3_93,0,alpha
D29.4_12,0,alpha
D29.4_13,0,alpha
D29.4_15,0,alpha
D29.4_16,0,alpha
D29.4_18,0,alpha
D29.4_2,0,alpha
D29.4_22,0,alpha
D29.4_25,0,alpha
D29.4_26,0,alpha
D29.4_28,0,alpha
D29.4_29,0,alpha
D29.4_30,0,alpha
D29.4_33,0,alpha
D29.4_34,0,alpha
D29.4_35,0,alpha
D29.4_38,0,alpha
D29.4_46,0,alpha
D29.4_49,0,alpha
D29.4_5,0,alpha
D29.4_50,0,alpha
D29.4_51,0,alpha
D29.4_53,0,alpha
D29.4_55,0,alpha
D29.4_56,0,alpha
D29.4_57,0,alpha
D29.4_58,0,alpha
D29.4_60,0,alpha
D29.4_61,0,alpha
D29.4_62,0,alpha
D29.4_65,0,alpha
D29.4_66,0,alpha
D29.4_68,0,alpha
D29.4_70,0,alpha
D29.4_72,0,alpha
D29.4_74,0,alpha
D29.4_75,0,alpha
D29.4_77,0,alpha
D29.4_80,0,alpha
D29.4_85,0,alpha
D29.4_9,0,alpha
D29.4_93,0,alpha
D29.5_11,0,alpha
D29.5_17,0,alpha
D29.5_18,0,alpha
D29.5_19,0,alpha
D29.5_24,0,alpha
D29.5_3,0,alpha
D29.5_31,0,alpha
D29.5_33,0,alpha
D29.5_35,0,alpha
D29.5_39,0,alpha
D29.5_44,0,alpha
D29.5_46,0,alpha
D29.5_49,0,alpha
D29.5_54,0,alpha
D29.5_56,0,alpha
D29.5_57,0,alpha
D29.5_59,0,alpha
D29.5_65,0,alpha
D29.5_67,0,alpha
D29.5_68,0,alpha
D29.5_7,0,alpha
D29.5_71,0,alpha
D29.5_75,0,alpha
D29.5_8,0,alpha
D29.5_82,0,alpha
D29.5_87,0,alpha
D29.5_92,0,alpha
D29.6_1,0,alpha
D29.6_17,0,alpha
D29.6_19,0,alpha
D29.6_21,0,alpha
D29.6_24,0,alpha
D29.6_26,0,alpha
D29.6_27,0,alpha
D29.6_29,0,alpha
D29.6_34,0,alpha
D29.6_38,0,alpha
D29.6_40,0,alpha
D29.6_41,0,alpha
D29.6_42,0,alpha
D29.6_48,0,alpha
D29.6_51,0,alpha
D29.6_52,0,alpha
D29.6_53,0,alpha
D29.6_54,0,alpha
D29.6_57,0,alpha
D29.6_58,0,alpha
D29.6_60,0,alpha
D29.6_64,0,alpha
D29.6_65,0,alpha
D29.6_69,0,alpha
D29.6_78,0,alpha
D29.6_8,0,alpha
D29.6_82,0,alpha
D29.6_84,0,alpha
D29.6_86,0,alpha
D29.6_89,0,alpha
D29.6_90,0,alpha
D29.6_91,0,alpha
D29.6_94,0,alpha
D29.7_1,0,alpha
D29.7_25,0,alpha
D29.7_32,0,alpha
D29.7_33,0,alpha
D29.7_38,0,alpha
D29.7_43,0,alpha
D29.7_44,0,alpha
D29.7_46,0,alpha
D29.7_47,0,alpha
D29.7_50,0,alpha
D29.7_51,0,alpha
D29.7_55,0,alpha
D29.7_56,0,alpha
D29.7_57,0,alpha
D29.7_59,0,alpha
D29.7_6,0,alpha
D29.7_64,0,alpha
D29.7_65,0,alpha
D29.7_70,0,alpha
D29.7_72,0,alpha
D29.7_73,0,alpha
D29.7_76,0,alpha
D29.7_80,0,alpha
D29.7_82,0,alpha
D29.7_84,0,alpha
D29.7_85,0,alpha
D29.7_90,0,alpha
D29.7_92,0,alpha
D29.8_14,0,alpha
D29.8_18,0,alpha
D29.8_2,0,alpha
D29.8_20,0,alpha
D29.8_24,0,alpha
D29.8_25,0,alpha
D29.8_27,0,alpha
D29.8_29,0,alpha
D29.8_30,0,alpha
D29.8_32,0,alpha
D29.8_33,0,alpha
D29.8_35,0,alpha
D29.8_37,0,alpha
D29.8_39,0,alpha
D29.8_40,0,alpha
D29.8_45,0,alpha
D29.8_51,0,alpha
D29.8_55,0,alpha
D29.8_56,0,alpha
D29.8_59,0,alpha
D29.8_60,0,alpha
D29.8_64,0,alpha
D29.8_65,0,alpha
D29.8_66,0,alpha
D29.8_7,0,alpha
D29.8_76,0,alpha
D29.8_77,0,alpha
D29.8_82,0,alpha
D29.8_84,0,alpha
D30.1_10,0,alpha
D30.1_15,0,alpha
D30.1_16,0,alpha
D30.1_17,0,alpha
D30.1_21,0,alpha
D30.1_23,0,alpha
D30.1_24,0,alpha
D30.1_27,0,alpha
D30.1_28,0,alpha
D30.1_35,0,alpha
D30.1_37,0,alpha
D30.1_38,0,alpha
D30.1_4,0,alpha
D30.1_40,0,alpha
D30.1_41,0,alpha
D30.1_47,0,alpha
D30.1_49,0,alpha
D30.1_52,0,alpha
D30.1_54,0,alpha
D30.1_56,0,alpha
D30.1_58,0,alpha
D30.1_59,0,alpha
D30.1_60,0,alpha
D30.1_64,0,alpha
D30.1_66,0,alpha
D30.1_7,0,alpha
D30.1_71,0,alpha
D30.1_73,0,alpha
D30.1_75,0,alpha
D30.1_81,0,alpha
D30.1_82,0,alpha
D30.1_84,0,alpha
D30.1_86,0,alpha
D30.1_87,0,alpha
D30.1_9,0,alpha
D30.1_90,0,alpha
D30.2_10,0,alpha
D30.2_12,0,alpha
D30.2_13,0,alpha
D30.2_14,0,alpha
D30.2_15,0,alpha
D30.2_16,0,alpha
D30.2_18,0,alpha
D30.2_19,0,alpha
D30.2_2,0,alpha
D30.2_21,0,alpha
D30.2_23,0,alpha
D30.2_24,0,alpha
D30.2_25,0,alpha
D30.2_28,0,alpha
D30.2_34,0,alpha
D30.2_37,0,alpha
D30.2_47,0,alpha
D30.2_5,0,alpha
D30.2_62,0,alpha
D30.2_65,0,alpha
D30.2_67,0,alpha
D30.2_68,0,alpha
D30.2_70,0,alpha
D30.2_72,0,alpha
D30.2_73,0,alpha
D30.2_75,0,alpha
D30.2_78,0,alpha
D30.2_80,0,alpha
D30.2_81,0,alpha
D30.2_83,0,alpha
D30.2_85,0,alpha
D30.2_86,0,alpha
D30.2_88,0,alpha
D30.2_91,0,alpha
D30.2_94,0,alpha
D30.3_1,0,alpha
D30.3_11,0,alpha
D30.3_12,0,alpha
D30.3_16,0,alpha
D30.3_19,0,alpha
D30.3_20,0,alpha
D30.3_25,0,alpha
D30.3_26,0,alpha
D30.3_27,0,alpha
D30.3_28,0,alpha
D30.3_29,0,alpha
D30.3_30,0,alpha
D30.3_31,0,alpha
D30.3_33,0,alpha
D30.3_34,0,alpha
D30.3_35,0,alpha
D30.3_37,0,alpha
D30.3_4,0,alpha
D30.3_40,0,alpha
D30.3_41,0,alpha
D30.3_42,0,alpha
D30.3_44,0,alpha
D30.3_46,0,alpha
D30.3_47,0,alpha
D30.3_48,0,alpha
D30.3_5,0,alpha
D30.3_50,0,alpha
D30.3_57,0,alpha
D30.3_60,0,alpha
D30.3_64,0,alpha
D30.3_65,0,alpha
D30.3_68,0,alpha
D30.3_70,0,alpha
D30.3_73,0,alpha
D30.3_74,0,alpha
D30.3_79,0,alpha
D30.3_80,0,alpha
D30.3_86,0,alpha
D30.3_88,0,alpha
D30.3_92,0,alpha
D30.3_93,0,alpha
D30.4_11,0,alpha
D30.4_12,0,alpha
D30.4_19,0,alpha
D30.4_20,0,alpha
D30.4_21,0,alpha
D30.4_24,0,alpha
D30.4_25,0,alpha
D30.4_29,0,alpha
D30.4_3,0,alpha
D30.4_32,0,alpha
D30.4_36,0,alpha
D30.4_37,0,alpha
D30.4_39,0,alpha
D30.4_40,0,alpha
D30.4_41,0,alpha
D30.4_43,0,alpha
D30.4_47,0,alpha
D30.4_49,0,alpha
D30.4_50,0,alpha
D30.4_52,0,alpha
D30.4_54,0,alpha
D30.4_6,0,alpha
D30.4_60,0,alpha
D30.4_63,0,alpha
D30.4_66,0,alpha
D30.4_68,0,alpha
D30.4_69,0,alpha
D30.4_73,0,alpha
D30.4_74,0,alpha
D30.4_75,0,alpha
D30.4_77,0,alpha
D30.4_85,0,alpha
D30.4_86,0,alpha
D30.4_87,0,alpha
D30.4_88,0,alpha
D30.4_94,0,alpha
D30.5_10,0,alpha
D30.5_13,0,alpha
D30.5_14,0,alpha
D30.5_20,0,alpha
D30.5_23,0,alpha
D30.5_24,0,alpha
D30.5_26,0,alpha
D30.5_27,0,alpha
D30.5_28,0,alpha
D30.5_33,0,alpha
D30.5_37,0,alpha
D30.5_39,0,alpha
D30.5_43,0,alpha
D30.5_48,0,alpha
D30.5_51,0,alpha
D30.5_53,0,alpha
D30.5_54,0,alpha
D30.5_55,0,alpha
D30.5_62,0,alpha
D30.5_63,0,alpha
D30.5_65,0,alpha
D30.5_66,0,alpha
D30.5_67,0,alpha
D30.5_70,0,alpha
D30.5_71,0,alpha
D30.5_73,0,alpha
D30.5_75,0,alpha
D30.5_8,0,alpha
D30.5_83,0,alpha
D30.5_84,0,alpha
D30.5_88,0,alpha
D30.5_92,0,alpha
D30.5_93,0,alpha
D30.5_94,0,alpha
D30.6_1,0,alpha
D30.6_16,0,alpha
D30.6_19,0,alpha
D30.6_2,0,alpha
D30.6_22,0,alpha
D30.6_24,0,alpha
D30.6_26,0,alpha
D30.6_30,0,alpha
D30.6_31,0,alpha
D30.6_32,0,alpha
D30.6_33,0,alpha
D30.6_36,0,alpha
D30.6_39,0,alpha
D30.6_4,0,alpha
D30.6_41,0,alpha
D30.6_42,0,alpha
D30.6_45,0,alpha
D30.6_46,0,alpha
D30.6_50,0,alpha
D30.6_51,0,alpha
D30.6_55,0,alpha
D30.6_62,0,alpha
D30.6_63,0,alpha
D30.6_65,0,alpha
D30.6_66,0,alpha
D30.6_67,0,alpha
D30.6_7,0,alpha
D30.6_70,0,alpha
D30.6_71,0,alpha
D30.6_72,0,alpha
D30.6_74,0,alpha
D30.6_75,0,alpha
D30.6_81,0,alpha
D30.6_82,0,alpha
D30.6_85,0,alpha
D30.6_87,0,alpha
D30.6_88,0,alpha
D30.6_89,0,alpha
D30.6_9,0,alpha
D30.6_91,0,alpha
D30.7_10,0,alpha
D30.7_12,0,alpha
D30.7_14,0,alpha
D30.7_16,0,alpha
D30.7_18,0,alpha
D30.7_2,0,alpha
D30.7_25,0,alpha
D30.7_26,0,alpha
D30.7_36,0,alpha
D30.7_40,0,alpha
D30.7_41,0,alpha
D30.7_42,0,alpha
D30.7_43,0,alpha
D30.7_45,0,alpha
D30.7_47,0,alpha
D30.7_49,0,alpha
D30.7_5,0,alpha
D30.7_52,0,alpha
D30.7_57,0,alpha
D30.7_6,0,alpha
D30.7_60,0,alpha
D30.7_61,0,alpha
D30.7_64,0,alpha
D30.7_65,0,alpha
D30.7_66,0,alpha
D30.7_67,0,alpha
D30.7_68,0,alpha
D30.7_71,0,alpha
D30.7_73,0,alpha
D30.7_75,0,alpha
D30.7_77,0,alpha
D30.7_78,0,alpha
D30.7_8,0,alpha
D30.7_87,0,alpha
D30.7_9,0,alpha
D30.7_92,0,alpha
D30.7_93,0,alpha
D30.8_1,0,alpha
D30.8_10,0,alpha
D30.8_11,0,alpha
D30.8_13,0,alpha
D30.8_19,0,alpha
D30.8_2,0,alpha
D30.8_20,0,alpha
D30.8_23,0,alpha
D30.8_26,0,alpha
D30.8_28,0,alpha
D30.8_31,0,alpha
D30.8_39,0,alpha
D30.8_43,0,alpha
D30.8_44,0,alpha
D30.8_47,0,alpha
D30.8_48,0,alpha
D30.8_5,0,alpha
D30.8_52,0,alpha
D30.8_53,0,alpha
D30.8_54,0,alpha
D30.8_64,0,alpha
D30.8_67,0,alpha
D30.8_7,0,alpha
D30.8_70,0,alpha
D30.8_71,0,alpha
D30.8_75,0,alpha
D30.8_76,0,alpha
D30.8_77,0,alpha
D30.8_78,0,alpha
D30.8_79,0,alpha
D30.8_83,0,alpha
D30.8_89,0,alpha
D30.8_90,0,alpha
D30.8_92,0,alpha
D31.1_17,0,alpha
D31.1_2,0,alpha
D31.1_24,0,alpha
D31.1_31,0,alpha
D31.1_32,0,alpha
D31.1_35,0,alpha
D31.1_4,0,alpha
D31.1_40,0,alpha
D31.1_42,0,alpha
D31.1_43,0,alpha
D31.1_46,0,alpha
D31.1_49,0,alpha
D31.1_52,0,alpha
D31.1_59,0,alpha
D31.1_60,0,alpha
D31.1_61,0,alpha
D31.1_64,0,alpha
D31.1_66,0,alpha
D31.1_67,0,alpha
D31.1_69,0,alpha
D31.1_75,0,alpha
D31.1_78,0,alpha
D31.1_8,0,alpha
D31.1_85,0,alpha
D31.1_87,0,alpha
D31.1_89,0,alpha
D31.1_91,0,alpha
D31.1_92,0,alpha
D31.2_11,0,alpha
D31.2_13,0,alpha
D31.2_14,0,alpha
D31.2_2,0,alpha
D31.2_22,0,alpha
D31.2_31,0,alpha
D31.2_32,0,alpha
D31.2_33,0,alpha
D31.2_39,0,alpha
D31.2_44,0,alpha
D31.2_45,0,alpha
D31.2_50,0,alpha
D31.2_56,0,alpha
D31.2_57,0,alpha
D31.2_63,0,alpha
