Cell,Cluster
D28.1_1,alpha
D28.1_13,ductal
D28.1_15,alpha
D28.1_17,alpha
D28.1_2,endothelial
D28.1_26,endothelial
D28.1_29,alpha
D28.1_3,delta
D28.1_30,alpha
D28.1_37,acinar
D28.1_38,acinar
D28.1_39,alpha
D28.1_4,beta
D28.1_40,alpha
D28.1_41,alpha
D28.1_43,beta
D28.1_49,beta
D28.1_5,unclear
D28.1_50,acinar
D28.1_51,alpha
D28.1_52,ductal
D28.1_55,acinar
D28.1_61,delta
D28.1_62,acinar
D28.1_63,alpha
D28.1_65,beta
D28.1_66,ductal
D28.1_67,acinar
D28.1_68,acinar
D28.1_73,acinar
D28.1_74,alpha
D28.1_75,alpha
D28.1_76,gamma
D28.1_77,ductal
D28.1_80,ductal
D28.1_85,gamma
D28.1_86,acinar
D28.1_87,acinar
D28.1_88,alpha
D28.1_89,delta
D28.1_90,ductal
D28.1_91,ductal
D28.2_1,acinar
D28.2_13,ductal
D28.2_15,acinar
D28.2_16,ductal
D28.2_17,ductal
D28.2_18,acinar
D28.2_2,alpha
D28.2_26,ductal
D28.2_28,alpha
D28.2_29,ductal
D28.2_37,alpha
D28.2_38,beta
D28.2_39,acinar
D28.2_4,acinar
D28.2_40,ductal
D28.2_41,mesenchymal
D28.2_42,acinar
D28.2_43,alpha
D28.2_49,acinar
D28.2_5,alpha
D28.2_51,alpha
D28.2_52,alpha
D28.2_53,acinar
D28.2_61,acinar
D28.2_63,gamma
D28.2_64,ductal
D28.2_65,alpha
D28.2_66,ductal
D28.2_68,alpha
D28.2_73,beta
D28.2_74,acinar
D28.2_75,acinar
D28.2_76,endothelial
D28.2_78,beta
D28.2_79,ductal
D28.2_85,alpha
D28.2_86,acinar
D28.2_87,acinar
D28.2_89,acinar
D28.2_90,alpha
D28.2_91,gamma
D28.3_13,alpha
D28.3_14,gamma
D28.3_15,alpha
D28.3_16,delta
D28.3_17,ductal
D28.3_18,gamma
D28.3_25,acinar
D28.3_26,acinar
D28.3_27,beta
D28.3_28,acinar
D28.3_29,ductal
D28.3_3,alpha
D28.3_30,beta
D28.3_31,acinar
D28.3_37,beta
D28.3_38,alpha
D28.3_4,acinar
D28.3_40,acinar
D28.3_41,beta
D28.3_42,alpha
D28.3_43,endothelial
D28.3_44,acinar
D28.3_49,ductal
D28.3_5,alpha
D28.3_50,acinar
D28.3_51,acinar
D28.3_52,acinar
D28.3_53,ductal
D28.3_54,ductal
D28.3_55,alpha
D28.3_6,beta
D28.3_61,delta
D28.3_62,acinar
D28.3_63,ductal
D28.3_64,alpha
D28.3_65,acinar
D28.3_68,alpha
D28.3_69,alpha
D28.3_7,alpha
