,Found,Truth
AZ_A10,0,delta
AZ_A12,0,delta
AZ_B1,0,delta
AZ_B10,0,delta
AZ_C11,0,delta
AZ_D5,0,delta
AZ_H1,0,delta
HP1502401_A18,0,delta
HP1502401_A2,0,delta
HP1502401_A24,0,delta
HP1502401_B8,0,delta
HP1502401_C20,0,delta
HP1502401_C5,0,delta
HP1502401_C8,0,delta
HP1502401_D12,0,delta
HP1502401_D17,0,delta
HP1502401_E3,0,delta
HP1502401_E9,0,delta
HP1502401_F11,0,delta
HP1502401_G20,0,delta
HP1502401_G3,0,delta
HP1502401_H6,0,delta
HP1502401_I7,0,delta
HP1502401_I9,0,delta
HP1502401_M6,0,delta
HP1502401_N7,0,delta
HP1502401_O18,0,delta
HP1502401_O6,0,delta
HP1504101T2D_A24,0,delta
HP1504101T2D_C10,0,delta
HP1504101T2D_C9,0,delta
HP1504101T2D_F17,0,delta
HP1504101T2D_H5,0,delta
HP1504101T2D_J14,0,delta
HP1504101T2D_L11,0,delta
HP1504101T2D_N21,0,delta
HP1504101T2D_P5,0,delta
HP1504901_A10,0,delta
HP1504901_A21,0,delta
HP1504901_B4,0,delta
HP1504901_B9,0,delta
HP1504901_C10,0,delta
HP1504901_D6,0,delta
HP1504901_F2,0,delta
HP1504901_I7,0,delta
HP1504901_J4,0,delta
HP1504901_K20,0,delta
HP1504901_M21,0,delta
HP1504901_N24,0,delta
HP1506401_E16,0,delta
HP1506401_G11,0,delta
HP1507101_A5,0,delta
HP1507101_F10,0,delta
HP1507101_L23,0,delta
HP1507101_L4,0,delta
HP1507101_O23,0,delta
HP1507101_P21,0,delta
HP1508501T2D_C16,0,delta
HP1508501T2D_C8,0,delta
HP1508501T2D_H11,0,delta
HP1508501T2D_I18,0,delta
HP1508501T2D_I23,0,delta
HP1508501T2D_J18,0,delta
HP1509101_D22,0,delta
HP1509101_E4,0,delta
HP1509101_H13,0,delta
HP1509101_H7,0,delta
HP1509101_J16,0,delta
HP1509101_L19,0,delta
HP1509101_L23,0,delta
HP1509101_O1,0,delta
HP1509101_O4,0,delta
HP1509101_P12,0,delta
HP1525301T2D_A7,0,delta
HP1525301T2D_D19,0,delta
HP1525301T2D_J10,0,delta
HP1525301T2D_M17,0,delta
HP1525301T2D_O2,0,delta
HP1526901T2D_A10,0,delta
HP1526901T2D_A16,0,delta
HP1526901T2D_A22,0,delta
HP1526901T2D_A4,0,delta
HP1526901T2D_B18,0,delta
HP1526901T2D_B6,0,delta
HP1526901T2D_B7,0,delta
HP1526901T2D_C1,0,delta
HP1526901T2D_C15,0,delta
HP1526901T2D_C24,0,delta
HP1526901T2D_D21,0,delta
HP1526901T2D_D24,0,delta
HP1526901T2D_E19,0,delta
HP1526901T2D_E20,0,delta
HP1526901T2D_E21,0,delta
HP1526901T2D_E3,0,delta
HP1526901T2D_F23,0,delta
HP1526901T2D_G2,0,delta
HP1526901T2D_G23,0,delta
HP1526901T2D_H18,0,delta
HP1526901T2D_I10,0,delta
HP1526901T2D_I11,0,delta
HP1526901T2D_I18,0,delta
HP1526901T2D_I19,0,delta
HP1526901T2D_J1,0,delta
HP1526901T2D_J20,0,delta
HP1526901T2D_J22,0,delta
HP1526901T2D_K22,0,delta
HP1526901T2D_K24,0,delta
HP1526901T2D_L24,0,delta
HP1526901T2D_M19,0,delta
HP1526901T2D_N16,0,delta
HP1526901T2D_O7,0,delta
HP1526901T2D_O9,0,delta
HP1526901T2D_P22,0,delta
AZ_A9,0,unclassified endocrine
HP1504101T2D_D8,0,unclassified endocrine
HP1504901_P15,0,unclassified endocrine
HP1506401_K18,0,unclassified endocrine
AZ_A8,1,beta
AZ_C10,1,beta
AZ_C4,1,beta
AZ_D2,1,beta
AZ_D6,1,beta
AZ_E7,1,beta
AZ_F1,1,beta
AZ_F2,1,beta
AZ_G2,1,beta
