Cell,Cluster
reads.12732,alpha
reads.12733,alpha
reads.12736,ductal
reads.12737,alpha
reads.12738,ductal
reads.12740,delta
reads.12743,alpha
reads.12745,alpha
reads.12748,alpha
reads.12749,alpha
reads.12751,ductal
reads.12752,alpha
reads.12753,alpha
reads.12755,ductal
reads.12756,alpha
reads.12762,alpha
reads.12763,beta
reads.12764,alpha
reads.12770,alpha
reads.12771,alpha
reads.12772,ductal
reads.12773,alpha
reads.12774,ductal
reads.12775,gamma
reads.13779,alpha
reads.13781,alpha
reads.13782,alpha
reads.13783,alpha
reads.13788,ductal
reads.13791,alpha
reads.13794,alpha
reads.13796,ductal
reads.16087,alpha
reads.16088,beta
reads.16096,beta
reads.16097,beta
reads.16098,alpha
reads.16099,beta
reads.16103,alpha
reads.16104,alpha
reads.16107,beta
reads.16108,beta
reads.16110,beta
reads.16112,beta
reads.16113,beta
reads.16114,gamma
reads.16115,beta
reads.16116,beta
reads.16118,alpha
reads.16119,delta
reads.16120,beta
reads.16124,beta
reads.16125,beta
reads.16126,alpha
reads.16129,beta
reads.16132,ductal
reads.16133,beta
reads.16134,beta
reads.16135,beta
reads.16139,alpha
reads.16142,beta
reads.16143,alpha
reads.16144,beta
reads.16145,beta
reads.16148,alpha
reads.16152,alpha
reads.16154,beta
reads.16159,beta
reads.16162,beta
reads.16164,beta
reads.16165,beta
reads.16167,alpha
reads.16169,beta
reads.16173,beta
reads.16176,beta
reads.16179,beta
reads.22209,alpha
reads.22210,alpha
reads.22211,beta
reads.22212,beta
reads.22214,alpha
reads.22215,alpha
reads.22216,alpha
reads.22217,alpha
reads.22218,beta
reads.22222,alpha
reads.22223,beta
reads.22224,alpha
reads.22225,beta
reads.22226,alpha
reads.22228,beta
reads.22229,gamma
reads.22230,alpha
reads.22231,delta
reads.22232,alpha
reads.22233,beta
reads.22235,alpha
reads.22236,alpha
reads.22238,acinar
reads.22239,delta
reads.22240,alpha
reads.22242,alpha
reads.22243,ductal
reads.22244,gamma
reads.22245,alpha
reads.22246,beta
reads.22247,alpha
reads.22248,alpha
reads.22250,alpha
reads.22251,alpha
reads.22252,alpha
reads.22253,beta
reads.22254,alpha
reads.22255,alpha
reads.22257,alpha
reads.22258,beta
reads.22259,beta
reads.22260,alpha
reads.22261,beta
reads.22265,alpha
reads.22266,alpha
reads.22270,alpha
reads.22272,alpha
reads.22273,beta
reads.22274,alpha
reads.22276,beta
reads.22277,alpha
reads.22278,alpha
reads.22279,alpha
reads.22280,alpha
reads.22281,alpha
reads.22283,alpha
reads.22284,ductal
reads.22285,beta
reads.22286,alpha
reads.22287,alpha
reads.22289,alpha
reads.22290,alpha
reads.22291,alpha
reads.22292,alpha
reads.22293,beta
reads.22294,beta
reads.22295,alpha
reads.22297,alpha
reads.22298,alpha
reads.22301,mesenchyme
reads.22302,ductal
reads.22303,alpha
reads.22304,alpha
reads.22907,delta
reads.22909,beta
reads.22912,alpha
reads.22914,acinar
reads.22916,alpha
reads.22918,alpha
reads.22919,gamma
reads.22920,alpha
reads.22921,beta
reads.22922,alpha
reads.22925,alpha
reads.22926,beta
reads.22935,beta
reads.22936,beta
reads.22938,alpha
reads.22939,alpha
reads.22940,alpha
reads.22941,alpha
reads.22942,alpha
reads.22943,alpha
reads.22944,alpha
reads.22945,alpha
reads.22946,alpha
reads.22947,alpha
reads.22948,alpha
reads.22949,alpha
reads.22950,alpha
reads.22952,alpha
reads.22953,alpha
reads.22955,alpha
reads.22956,alpha
reads.22959,alpha
reads.22960,alpha
