"","N402Barcode_706.511","N402Barcode_705.507","N402Barcode_718.520","N402Barcode_722.516","N402Barcode_721.516","N402Barcode_715.515","N402Barcode_718.513","N402Barcode_704.506","N402Barcode_702.505","N402Barcode_706.503","N402Barcode_701.511","N402Barcode_727.507","N402Barcode_729.502","N402Barcode_705.521","N402Barcode_719.503","N402Barcode_707.521","N402Barcode_728.521","N402Barcode_702.508","N402Barcode_703.520","N402Barcode_707.506","N402Barcode_701.505","N402Barcode_724.505","N402Barcode_728.510","N402Barcode_703.503","N402Barcode_726.511","N402Barcode_702.510","N402Barcode_712.513","N402Barcode_714.516","N402Barcode_715.503","N402Barcode_726.521","N402Barcode_721.503","N402Barcode_704.515","N402Barcode_719.517","N402Barcode_705.522","N402Barcode_705.508","N402Barcode_705.510","N402Barcode_722.513","N402Barcode_720.503","N402Barcode_720.517","N402Barcode_716.510","N402Barcode_702.511","N402Barcode_723.502","N402Barcode_727.522","N402Barcode_715.518","N402Barcode_703.507","N402Barcode_707.515","N402Barcode_702.520","N402Barcode_704.510","N402Barcode_712.521","N402Barcode_706.522","N402Barcode_714.510","N402Barcode_702.515","N402Barcode_701.515","N402Barcode_711.502","N402Barcode_701.517","N402Barcode_720.507","N402Barcode_728.508","N402Barcode_728.520","N402Barcode_726.522","N402Barcode_707.503","N402Barcode_724.510","N402Barcode_705.505","N402Barcode_701.503","N402Barcode_703.516","N402Barcode_728.503","N402Barcode_703.510","N402Barcode_721.508","N402Barcode_707.505","N402Barcode_716.506","N402Barcode_714.518","N402Barcode_720.516","N402Barcode_724.507","N402Barcode_720.506","N402Barcode_720.520","N402Barcode_701.518","N402Barcode_722.520","N402Barcode_723.508","N402Barcode_721.521","N402Barcode_715.511","N402Barcode_704.516","N402Barcode_724.520","N402Barcode_714.507","N402Barcode_726.507","N402Barcode_728.516","N402Barcode_723.516","N402Barcode_704.511","N402Barcode_715.507","N402Barcode_720.505","N402Barcode_711.522","N402Barcode_716.518","N402Barcode_721.513","N402Barcode_722.517","N402Barcode_705.511","N402Barcode_727.506","N402Barcode_719.506","N402Barcode_721.506","N402Barcode_720.515","N402Barcode_712.508","N402Barcode_711.511","N402Barcode_716.515","N402Barcode_721.518","N402Barcode_723.503","N402Barcode_705.520","N402Barcode_723.513","N402Barcode_710.510","N402Barcode_726.517","N402Barcode_724.506","N402Barcode_724.515","N402Barcode_706.516","N402Barcode_711.513","N402Barcode_716.522","N402Barcode_711.521","N402Barcode_706.521","N402Barcode_712.518","N402Barcode_705.517","N402Barcode_714.515","N402Barcode_712.503","N402Barcode_727.521","N402Barcode_704.522","N402Barcode_728.518","N402Barcode_718.518","N402Barcode_707.510","N402Barcode_716.511","N402Barcode_727.505","N402Barcode_712.502","N402Barcode_710.518","N402Barcode_724.518","N402Barcode_719.507","N402Barcode_710.520","N402Barcode_707.520","N402Barcode_706.520","N402Barcode_710.517","N402Barcode_701.506","N402Barcode_711.518","N402Barcode_704.517","N402Barcode_728.517","N402Barcode_706.505","N402Barcode_722.505","N402Barcode_718.517","N402Barcode_701.510","N402Barcode_704.520","N402Barcode_710.508","N402Barcode_723.511","N402Barcode_710.516","N402Barcode_703.513","N402Barcode_716.508","N402Barcode_716.502","N402Barcode_704.513","N402Barcode_716.521","N402Barcode_726.510","N402Barcode_712.520","N402Barcode_718.507","N402Barcode_716.503","N402Barcode_716.517","N402Barcode_718.510","N402Barcode_724.508","N402Barcode_720.510","N402Barcode_712.511","N402Barcode_719.511","N402Barcode_712.515","N402Barcode_712.505","N402Barcode_707.517","N402Barcode_721.511","N402Barcode_727.511","N402Barcode_723.505","N402Barcode_718.522","N402Barcode_721.515","N402Barcode_728.513","N402Barcode_701.502","N402Barcode_711.515","N402Barcode_719.520","N402Barcode_711.503","N402Barcode_711.517","N402Barcode_723.521","N402Barcode_719.505","N402Barcode_727.517","N402Barcode_724.517","N402Barcode_722.522","N402Barcode_712.517","N402Barcode_722.515","N402Barcode_728.511","N402Barcode_707.516","N402Barcode_706.507","N402Barcode_707.502","N402Barcode_719.521","N402Barcode_701.507","N402Barcode_721.502","N402Barcode_723.522","N402Barcode_701.522","N402Barcode_724.502","N402Barcode_711.505","N402Barcode_728.522","N402Barcode_705.516","N402Barcode_714.506","N402Barcode_718.506","N402Barcode_722.503","N402Barcode_702.506","N402Barcode_715.513","N402Barcode_703.502","N402Barcode_721.517","N402Barcode_715.520","N402Barcode_711.508","N402Barcode_701.516","N402Barcode_716.505","N402Barcode_707.508","N402Barcode_727.508","N402Barcode_702.516","N402Barcode_727.520","N402Barcode_718.511","N402Barcode_727.502","N402Barcode_727.515","N402Barcode_720.508","N402Barcode_707.507","N402Barcode_703.508","N402Barcode_723.518","N402Barcode_702.503","N402Barcode_727.510","N402Barcode_703.518","N402Barcode_712.522","N402Barcode_704.507","N402Barcode_712.510","N402Barcode_718.508","N402Barcode_726.518","N402Barcode_702.521","N402Barcode_704.502","N402Barcode_715.505","N402Barcode_718.502","N402Barcode_715.521","N402Barcode_701.520","N402Barcode_710.513","N402Barcode_711.520","N402Barcode_726.505","N402Barcode_705.513","N402Barcode_723.517","N402Barcode_722.506","N402Barcode_716.516","N402Barcode_706.515","N402Barcode_728.506","N402Barcode_724.511","N402Barcode_702.513","N402Barcode_727.503","N402Barcode_724.513","N402Barcode_712.516","N402Barcode_719.522","N402Barcode_715.502","N402Barcode_705.503","N402Barcode_716.513","N402Barcode_706.517","N402Barcode_722.507","N402Barcode_718.505","N402Barcode_727.516","N402Barcode_726.520","N402Barcode_701.513","N402Barcode_723.515","N402Barcode_715.506","N402Barcode_704.503","N402Barcode_724.522","N402Barcode_715.522","N402Barcode_716.520","N402Barcode_714.511","N402Barcode_702.518","N402Barcode_704.505","N402Barcode_719.502","N402Barcode_722.508","N402Barcode_714.522","N402Barcode_722.521","N402Barcode_724.503","N402Barcode_703.505","N402Barcode_702.517","N402Barcode_719.518","N402Barcode_726.502","N402Barcode_726.508","N402Barcode_721.507","N402Barcode_726.516","N402Barcode_703.517","N402Barcode_722.511","N402Barcode_706.518","N402Barcode_726.515","N402Barcode_704.521","N402Barcode_714.521","N402Barcode_727.518","N402Barcode_705.515","N402Barcode_720.511","N402Barcode_719.515","N402Barcode_710.502","N402Barcode_724.521","N402Barcode_706.502","N402Barcode_723.510","N402Barcode_702.522","N402Barcode_718.521","N402Barcode_702.502","N402Barcode_703.506","N402Barcode_706.508","N402Barcode_703.521","N402Barcode_721.505","N402Barcode_727.513","N402Barcode_726.506","N402Barcode_721.520","N402Barcode_729.513","N402Barcode_720.502","N402Barcode_707.513","N402Barcode_723.506","N402Barcode_706.513","N402Barcode_712.507","N402Barcode_714.513","N402Barcode_704.518","N402Barcode_707.522","N402Barcode_715.516","N402Barcode_721.522","N402Barcode_722.502","N402Barcode_703.515","N402Barcode_724.516","N402Barcode_715.517","N402Barcode_711.507","N402Barcode_723.520","N402Barcode_710.507","N402Barcode_710.503","N402Barcode_701.521","N402Barcode_711.510","N402Barcode_718.503","N402Barcode_706.506","N402Barcode_718.516","N402Barcode_714.503","N402Barcode_707.511","N402Barcode_728.502","N402Barcode_714.505","N402Barcode_728.515","N402Barcode_704.508","N402Barcode_719.516","N402Barcode_722.510","N402Barcode_710.505","N402Barcode_710.515","N402Barcode_722.518","N402Barcode_723.507","N402Barcode_705.518","N402Barcode_719.510","N402Barcode_714.508","N402Barcode_706.510"
"Smp-161920",0,2.24296244915272,0,0.135063020933441,0,0,1.58912287266131,3.05195890709228,1.72828166069945,3.67031035611703,0,0,0,4.39069123847425,4.38141923862266,0,2.63489338310554,3.44726549901314,0,0,0,4.18010919396226,4.30195301352623,0,0,1.36559488528274,0,3.24225059621114,3.84566340356514,0,0,1.67095733568814,3.64094265512679,1.23461213074952,0,0,0.0284039872531856,0,2.07102339555696,4.19694534662234,0,0,4.1147250850932,2.21077204655717,4.33224071835236,1.69221732507828,4.27122491736052,0.0530258951335394,0,1.08775227461189,0,0,0,0,4.31404305692169,0,3.95141737714582,4.59544617061787,4.34856866670122,0,4.69081745716053,2.48429137722328,2.92176528482209,1.81613500245043,0,4.03847476651634,0,4.51205611085481,0,0,0,1.38999624667939,0.845107637175177,4.1743370007903,1.38369621839387,3.93848716088185,1.29261733880758,0,2.10665958827042,0,1.73567442781371,0,0,0,4.494218187404,0,2.86541298175209,1.0708626307571,4.31421246084813,0,0.0882998568449337,1.36684201915731,2.75987900297468,2.05647932584246,0,0,1.62084139745276,1.45127035866697,0.0717885943546792,0,0,0.028496251566202,2.98593070727815,1.90939808083061,0,1.5533967629019,1.57278684104733,3.92337103092156,4.39324886351671,0,0,0,3.27458907989095,3.22181147084625,0,3.82288770416496,2.67252592869991,3.07348189442535,0,3.89269814495105,1.33151062273226,2.03808326445111,2.56059102756873,0,0,4.46512289700605,1.96273752947877,0,1.7713445206911,0,2.63740225500294,0,4.37232609636199,0,4.60018012019314,0,1.26203140268986,0,4.1521737757421,1.79648200581025,1.52624836895525,2.05742763262043,0.0355717153624817,4.68791336811067,0,2.4250988862912,0,0,1.9251996387848,3.78112213279741,0,3.21140597285464,0.114209451247483,2.68063084076093,0.722929154498387,4.09483763032752,0,2.29190385918577,4.60478760509999,2.01133416025791,4.28794504186638,0,0,3.83074440362021,0,1.72004288375699,0,0,0.858619063911211,3.685439732793,0,3.20571249108228,4.43078194549687,4.28450079057337,0,0,0,1.40370378458135,1.01474060784271,1.54439947842045,0,0,1.9780364769304,0,0.163286599702199,0,1.43801293189408,4.35017283071054,1.53320405062584,0,3.35016608349112,2.96555652434897,0,0.995537441842116,4.62164870235107,4.45752679280549,0,0.644092362337786,3.65674768217798,1.44913671277429,4.08613353329654,3.85437953656702,0,1.35897397830355,0.111352591173328,1.28914824196752,0,2.06776866813201,1.89434262322902,1.53091762398982,0,0,1.62237305953252,0,0,0,4.33493218933956,0,1.32143769391494,3.94890319244447,4.71658492748661,4.24956284979064,1.14946497865698,0,1.66460456941511,0,0,3.85402401423648,4.08920319953541,4.57521866114988,3.98691762484886,1.8696169939043,0,1.70933918628749,0.0274175513018728,1.62175182111157,2.33258739155849,0,0,0,0,2.44814002184106,4.30771356456155,4.13553196517035,0,1.66480688509709,2.84357332833207,0,2.52011988699178,2.8409958084235,4.28677817126598,4.07754580573224,0,0,3.39270497774477,0,4.74222954750657,0,3.88197301628881,0,4.24526775560355,0,1.12492110800162,4.23553908362146,1.37048907860422,2.12113097894552,0.969702847498419,1.53310033183825,0,3.87612390479809,0,0,0,2.14098775928713,0,4.32508337770184,1.23881540703304,1.39982020902199,0,1.02411351533763,0.85605751816902,2.19503912241683,4.32061495731782,4.33483686009426,2.54026848900439,4.56018608442555,1.223635811583,0.11612481561552,4.95829352391893,3.87191489228157,0,4.49061008438338,0,1.94021949637981,0,0,0.0332992668375273,0,0,0.739523698517578,2.24944647104574,0,0,1.55188590721734,4.20100689574158,4.23177950648504,0,0,1.21923590619442,0,2.31245006792558,0,3.52860000863119,1.22838613423657,0,0,0,0,4.46493508114572,4.655866923859,3.93394918500533,0,0,0,4.08858451042772,0,0,0,0,4.48591107533283,4.37856651397726,4.55498002068244,4.00167770217352,0,0,4.71338814715553,3.13258886817918,0
"Smp-142120",0.949106891504536,2.1639249157443,0,3.42306997327792,0,2.72443916334972,0,1.55857282362005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32654845803336,0,0,0,2.82046169807439,0,0,0,0,4.07202001067301,3.97364158319164,0,0,0,0,0,1.75084317129644,0,0,0,0,0,0,0,0,0.0627260578810452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59248573135113,0,0,0,3.79180727563263,0,0,0,0,0,0.574114808040062,2.34444937816965,0,0,0,1.2515854892632,0,3.59839291922393,0,0,0,2.57953456281867,0,3.24279551052142,0,0,0,2.15420684582852,0,2.74661339236335,0,0,0,0,0,0.794144613605086,0,0,0,0,0,0,0,0,0,3.08386709465802,0,1.77382948531478,0,0,0,0,3.21794514673275,0,0,0,0,0,0,2.2773051070587,0,0,0,0,0,4.15944320879729,2.13739158068293,0,0,1.32591350942368,2.12969978923106,3.622812365583,0,0,0,0,3.32491770470588,3.38383476094633,0,0,3.04347314216224,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36301870126305,3.73060831346532,0,0,3.18474356076986,0,0,0,0,0,0,0,2.66277061613352,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1726218697376,0,0,0,0,0,0,0,1.38835044269413,0,3.0248085283375,2.08989580655608,0,0,0,0.0305123300619151,2.99635613540824,0,1.38475092764047,0,0,0,0,0,0,0,3.52171745192786,0,0,0,0,0,0,0,0,1.40053027124783,3.08690132480561,3.5497986714918,0,3.25079959265552,0,0,0,0,0,1.76789384648759,0,0,0,0,3.06000982377628,0,1.531056446698,1.58596514366435,0,0,0,2.64460326671583,0,0,0,3.78085521841712,0,0,0,0,0,0.0704121554936543,0,0,4.01876939578519,0,0,0,0,0,0,0,0,0,2.37282058759746,3.16437713891272,3.42084155587382,0,0,0,0,0,0,0,2.26409027755507,0,0,0,2.78086232577567,0,0,0,0,0,1.10654463161633,0,0,3.35862412576714,0,0,0,0,0,0,1.9017233372501,2.14758960391313,3.51156678755456,0,0,2.0084616393244,0,2.2832677243925,0,0,2.66899838057394,1.21935399558143,0,0,0,2.0405389189629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65767384408163
"Smp-204160",0,0,1.52488394502658,0.0462140443538585,0,0,0,2.62616747769711,0,0,0,0,0,0,2.35518555095722,0,0,3.12691968556482,0,0,0,0,0,0,1.8830995819394,2.26071129375324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24906340840917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93894798910648,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55151255818197,0,0,0,0,0,0,2.14145565348676,0.940087210755123,2.41153525295826,0,2.81840687436689,0,0,0,3.49525926753405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3739957562847,0,0,0,0,0,0,0,3.17421454094675,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7183493582319,0,0,3.05973698021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27532194019467,0,0,1.34369027100738,0,0,0,0,0,0.0929384639911797,0,2.38677799955193,0,2.42174177676127,0,1.80733737135523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04122345349654,0,0,0,0,0,0,0,2.32793958707791,0,0,2.6179622884364,0,0,0.73176031495032,0,0,0,0,0,0,0,0,0,0,0,2.68159564743051,0,0,3.55815255036395,0,3.06028439286117,0,0,0,0,0,0,0,3.87624423183178,0,2.9558988334906,0,0,0,0,3.48033438179125,0,0,0,0,0,0,2.47032766513171,0,1.3727154685963,1.1055657485744,0,0.188715083076325,0,2.39941608941906,0,0,0,0.320467438906075,0,0,0,0,0,2.95419258249263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6682765210911,0,0,0,0,0,0,0,0,0,0,0,0.121226639288053,2.51742051678258,2.11577615317801,0,0,0,0,2.72720027237968,0,0,0,0,1.58851394119743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70538885930144,2.60372462229363,0,0,0,0,0,0,0,0,0,0,3.0052135830454,0,0,0,0,0,0,0
"Smp-015670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22932385798036,0,0,0,0.225853468648858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99827622102588,0,0,0,0,0,2.85010519765062,0,0,0,0,0,0,0,0,0,0,2.05058873317723,0,3.82989567370054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0444258711466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24626152239876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74196513908259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56257954715632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89506509084024,0
"Smp-033040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21375264365953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151802240373442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11005520447678,0,0,0,0,0,0,0,0,0,0,0,0,2.33907141020965,0,0,0,0,0,0,0,0,0,0,0,0,2.07472091605145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97651354559145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897861743237569,1.94603698573491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45832591731354,0,0,0,0,0,0,0,0,2.45463359594111,0,0,0,0,0,1.5503843378568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629125501473099,0,0,1.39099753831105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374429422002057,0,0,0,0,0,0,0,0,0,0,0,2.13426560448973,0,0,0,0,0
"Smp-100350",0,0,0,0,0,2.33169593577073,0,0,0,0,3.11426375882785,0,0,0,0,0,0,0,2.38059034588106,0,0,2.27576829429255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951500937141372,0,1.9744657495073,0,0,2.33096368598668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91557750748373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91639233332392,0,0,0,2.27214068230108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36678131444348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65236766915171,0,0,0,0,0,0,2.22685453884023,0,0,0,0,1.73032892717303,0,0,0,0,0,0,0,0,0,0,0,2.66893330693311,0,2.39411772919322,0,0,1.68158064841663,0,0,0,1.7118283707147,0,0,1.99536489004348,0,0,0,0,0,0,1.86798045587156,0,0,0,0,1.8270437071355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35354612540723,0,0,0,0,0,0,2.27977863678834,0,0,0,0,0,0
"Smp-203410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42547416622073,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23210613707979,0,1.70385256918359,0.946939126320541,0,0,0,0.631687873929085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13941865683964,0,1.49034771704289,0,1.44376140985778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899713783532936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19911389976159,0,0,0,0,0,0,0,0,0,2.06931601234775,0,0,0,0,0,0,0,0,0.354896779430792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07981574590138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792938342111559,0,0,0,0,0,0,0,0,0,2.64412820663886,0,0,0,0,0,0,0,1.79423784717746,0,0,0,0,0,0,0,0,0,0,0,2.69325935856733,1.20030442946083,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50866186247483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82286633318019,2.07864620810067,0,0,0,0,0,0,0,0,0,0,0.506413971946173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46999390143521,0,0.596050303180417,0,0,0,0,1.62665684310091,0.0526230999441138,0,0,0,0,2.31957933910669,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10699365795462,0,0,0,0,0,0,0,0,0,0,2.34218221269915,0,2.25820123808469,0,0,0,0,0
"Smp-066830",1.88276230831115,0,0.271257644255208,0,0,0,0,0,0.369693886579804,0.368901928821374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43050895448792,0,0,0.252109095746754,0,0,2.14593277662113,0,0,2.19494246897512,0.0332242891483325,0,0,0.0353134495681768,0,0,0,0,0,0,0.495302040921613,0,0,0,0,1.57473301506203,0.329045410900357,0,0,0,0,0,0.0970629874652208,0,1.4680509021065,0.277867791535385,0,0,0,0,0,0.161483768689474,0,0,0,1.36280882297826,0,0,0,0,0,0,0,0,0,0,1.1635647953481,0,0.605462590434519,0,0,0,0,0.304632613326148,0.168946110247941,0,0,0,0,0,0,0,1.29596119272804,0,0,0,0,0,0,1.14066249248359,0,0.455898496234187,0,0,0,0,0,0.320803609662633,0,0,0,0,1.04130260220053,0,0,0,0,0,0.870505897811219,0.95109191828913,0,0,0,0,0,1.00197344435389,0,0,0,0,0.0368070530893792,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77558775087025,0,0,0,0,0,0,0,0.386359443314664,0,0,0,0,0,0,0.429590927381055,0,0,0,0,0,0,0,0,0,0.503131104069577,0,0.0310165995748135,0,0,0.937213985540898,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41088490648457,0,2.04725049793365,0,0,0,0,0.074578991733725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404196169745101,0.892215951626812,0,0,0.0727351818954865,0,0,0,0,0,0.411445552615649,1.892858941118,0,0,0,0,0,0,0,0,0.07516171427214,0,0,0,0,0.403642395846465,0,1.83653438751799,0,0,0,2.1068793199239,0,0,0,0,1.15644304012152,0,0,0,0.042418969073633,0.461665243517375,2.79300354998484,2.28160425485757,0,0,2.59223763257314,0,0,0,0,0,0,3.11224642318448,0,0,0,0,0,0,0,0.136586308339571,0.250252252687228,2.2065866837484,0,0,0,0.575205950539161,0,0,0,0,0,0.128285708288736,0,0,0,0,0,0.123308756966167,0,0,0,0,0,0,0,0.151796142737382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65356929411686,0,0,0,0.0975852505028208,0,2.65528273573433,0,0,0,0,0,0,2.97770046831354,0,0,0,0,0,0.687210930899357,2.24427806420383,0,0,0.0407579835430738
"Smp-120900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24049046124762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47269939180982,0,0,0,0,0,0,2.36066883773921,0,0,0,0,0,0,1.425778684705,0,0,0,0,1.43997715824213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348687614742068,0,0,0,1.72588676707902,0,0,0,0,0,0,0,0,0,2.39095563162502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61566335997381,0,0,0,0.799468252385692,0,0,0,0,1.78480763326787,0,2.5800335802325,0,0,0,0,0,0,0,1.98968649372435,0,0,0,0,0,0,0,0,0,2.48033573069766,0,0,0,0,0,0,0,0,0,0,0,0.867878559279339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36933607958849,0,0,0,0,0,0,0,0,1.01537248597671,0,0,0.802442490939434,0,0,0,1.19206873560329,2.74723653418472,0,0,0,0,0,0,0,0.957111444731881,0,0,1.24330047628862,0,0,0,0,0,2.14371573922065,0.810620672315561,0.209240568629379,0.686982126354142,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07741741313924,0,0,0,0,0,0,0,0,0,0,2.85795023057862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3750371197988,0,1.56349121151708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7233710286162,0,0,0,1.58816635898972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9511330666073,0,0,0,0,0,0,0,2.21887691485717,0,0,0,0,0,0,0,0,0,0,0,0,1.80733712456139,0,2.48816392244562,0,0,0,0,0,2.01968709140284,0,0
"Smp-041350",0,0,0,0,0,0,0,1.97072738231601,0,0,0,0,0,0,0,0,1.11051468131138,2.51377033102822,0,0,0,0,0,0,0,0,0,2.02424102243522,0,0,0,0,0,0,0,0,0.237869748258289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75269639633654,1.60543770205935,0,0,0,0,0,0,0,1.87845636888183,1.48489694229337,0,0,0,0,0,2.31404791153489,1.59916975388356,0,0,1.73097884227511,0,0,0,0.0608897571773887,0,1.98746237386918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463800163044368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291021237330092,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94013036265101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62195935612998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37010723292183,0,2.65532117761291,0,0,0,1.75902448770081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808940719818563,0,0,0,0,0,0,0,0,0.46870105913352,0.299862385640547,0,0,0,0,0.71642639380145,0,0,0.0458502312359745,0,0,0,0,0,0.965681742934127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82613423501389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15289918885395,0,0,0,0,0,0,0,0,0,0,0,0,1.6256648512258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
